"Sample"	"TP142"	"TP152"	"TP174"	"TP325"	"TP326"	"TP330"	"TP341"	"TP406"	"TP434"	"TP45"	"TP80B"	
"MOBU03"	"145,145"	"154,154"	"170,170"	"162,162"	"226,226"	"356,356"	"308,308"	"216,216"	"163,163"	"368,368"	"220,220"	
"MOBU07"	"145,145"	"154,154"	"170,170"	"162,162"	"226,226"	"356,356"	"284,284"	"216,216"	"163,163"	"368,368"	"226,226"	
"MOBU09"	"145,145"	"154,154"	"170,170"	"162,162"	"226,226"		"284,284"	"216,216"	"163,163"	"368,368"	"226,226"	
"MOBU11"	"145,145"	"154,154"	"170,170"	"165,165"	"226,226"	"356,356"	"308,308"	"213,213"	"163,163"	"382,382"	"211,211"	
"MOBU12"	"145,145"	"154,154"	"170,170"	"171,171"	"226,226"	"356,356"	"284,284"	"216,216"	"163,163"	"368,368"	"226,226"	
"MOBU14"	"145,145"	"154,154"	"170,170"	"162,162"	"226,226"	"356,356"	"284,284"	"216,216"	"163,163"	"368,368"	"226,226"	
"MOBU17"	"145,145"	"154,154"	"170,170"	"171,171"	"226,226"	"356,356"	"284,284"	"216,216"	"163,163"	"368,368"	"226,226"	
"MOBU20"	"145,145"	"154,154"	"170,170"	"171,171"	"226,226"	"356,356"	"284,284"	"216,216"	"163,163"	"368,368"	"226,226"	
"MOBU22"												
"MOBU26"		"154,154"	"170,170"	"162,162"	"226,226"		"284,284"			"368,368"		
"MOBU27"		"154,154"	"170,170"	"162,162"	"226,226"		"284,284"			"368,368"		
"MOBU30"		"154,154"										
"MOBU32"	"145,145"	"154,154"	"170,170"	"162,162"	"226,226"	"356,356"	"308,308"	"213,213"	"163,163"	"382,382"	"211,226"	
"MOBU33"	"145,145"	"154,154"	"170,170"	"165,165"	"226,226"	"356,356"	"308,308"	"213,213"	"163,163"	"382,382"	"211,211"	
"MOBU36"	"145,145"	"154,154"	"170,170"	"162,162"	"226,226"	"356,356"	"308,308"	"213,213"	"163,163"	"382,382"	"211,211"	
"MOBU37"	"145,145"	"154,154"	"170,170"	"162,162"	"226,226"		"284,284"	"216,216"	"163,163"	"368,368"		
"MOBU39"	"145,145"	"154,154"	"170,170"		"226,226"	"356,356"	"308,308"	"213,213"	"163,163"	"382,382"	"211,211"	
"MOBU42"	"145,145"	"154,154"		"162,162"	"226,226"		"284,284"			"368,368"		
"MOBU48"	"145,145"	"154,154"	"170,170"	"162,162"	"226,226"	"356,356"	"308,308"	"213,213"	"163,163"	"382,382"	"211,211"	
"MOBU50"	"145,145"	"154,154"		"162,162"	"226,226"		"284,284"	"216,216"		"368,368"		
"MOHC01"	"145,145"	"154,154"	"170,170"	"162,162"	"226,226"	"356,356"	"308,308"	"198,198"	"163,163"	"368,368"	"220,220"	
"MOHC03"	"145,145"	"154,154"	"170,170"	"162,162"	"226,226"	"356,356"	"308,308"	"198,198"	"163,163"	"368,368"	"220,220"	
"MOHC05"	"145,145"	"154,154"	"170,170"	"162,162"	"226,226"	"356,356"	"308,308"	"198,198"	"163,163"	"368,368"	"220,220"	
"MOHC06"	"145,145"	"154,154"	"170,170"	"162,162"	"226,226"	"356,356"	"308,308"	"198,198"	"163,163"	"368,368"	"220,220"	
"MOHC07"	"145,145"	"154,154"	"170,170"	"162,162"	"226,226"	"356,356"	"308,308"	"198,198"	"163,163"	"368,368"	"220,220"	
"MOHC11"	"145,145"	"154,154"	"170,170"	"162,162"	"226,226"	"356,356"	"284,284"	"198,198"	"163,163"	"368,368"	"220,220"	
"MOHC17"		"154,154"			"226,226"	"356,356"	"284,284"					
"MOHC19"	"145,145"	"154,154"						"198,198"	"163,163"	"368,368"		
"MOHC22"	"145,145"	"154,154"	"170,170"	"162,162"	"226,226"	"356,356"	"284,284"	"198,198"	"163,163"	"368,368"	"220,220"	
"MOHC24"	"145,145"	"154,154"		"162,162"	"226,226"	"356,356"	"284,284"	"198,198"	"163,163"	"368,368"	"220,220"	
"MOHC27"	"145,145"	"154,154"	"170,170"	"162,162"	"226,226"	"356,356"	"284,284"	"198,198"	"163,163"	"368,368"	"220,220"	
"MOHC28"	"145,145"	"154,154"	"170,170"	"162,162"	"226,226"	"356,356"	"284,284"	"198,198"	"163,163"	"368,368"	"220,220"	
"MOHC30"	"145,145"	"154,154"	"170,170"	"162,162"	"226,226"	"356,356"	"284,284"	"198,213"	"163,163"	"368,368"	"220,220"	
"MOHC37"												
"MOHC38"		"154,154"			"226,226"		"284,284"			"368,368"		
"MOHC40"	"145,145"	"154,154"	"170,170"	"162,162"	"226,226"	"356,356"	"284,284"	"198,198"	"163,163"	"368,368"	"220,220"	
"MOHC41"		"154,154"			"226,226"		"284,284"	"198,198"		"368,368"		
"MOHC42"												
"MOHC43"	"145,145"	"154,154"		"162,162"	"226,226"	"356,356"	"284,284"	"198,198"	"163,163"	"368,368"	"217,217"	
"MOHC48"	"145,145"	"154,154"	"170,170"	"162,162"	"226,226"	"356,356"	"284,284"	"198,198"	"163,163"	"368,368"	"220,220"	
"MOOC01"	"145,145"	"154,154"	"170,170"	"153,153"	"226,226"	"356,356"	"308,308"	"216,216"	"163,163"	"368,368"	"217,217"	
"MOOC03"	"145,145"	"154,154"	"170,170"		"226,226"	"356,356"	"308,308"	"216,216"	"163,163"	"368,368"	"217,217"	
"MOOC04"	"145,145"	"154,154"	"170,170"	"153,162"	"226,226"	"356,356"	"308,308"	"216,216"	"163,163"	"368,368"	"217,217"	
"MOOC07"	"145,145"	"154,154"	"170,170"		"226,226"	"356,356"	"308,308"	"216,216"	"163,163"	"368,368"	"217,217"	
"MOOC08"												
